,Country_Name,image,Description
431,South Africa,Aeh8MFi,"Probably very old picture. Makes me thinking human rights, I don't like this woman attitude."
432,South Africa,Afjkw,This looks lizard what kind of I'd like to have when I was a kid.
433,South Africa,B36odyf,Happy guy with a such a great parrots. These are so wise animal.
434,South Africa,E4ipiqV,"This is interesting, I'd like to look closer this."
435,South Africa,UTGGlNO,"Stunning picture, two beautiful."
436,South Africa,cou0N,Now someone has lost totally wrong environment.
437,South Africa,hlQI0,This tree must so old.
438,South Africa,m1Wg9Vt,"So fresh picture, good colors. I love this beach down there."
439,South Africa,xTUTYoE,A curious penguin like to have some attention.
440,Spain,9Yw2SNu,"Oh, exactly place where I can find myself!"
441,Spain,Ice3sai,"Good looking place for skateboarding people, for skating and chilling."
442,Spain,T22O5TO,I think I need to go to back Spain and find place like this. Very nice.
443,Spain,TvHgfey,Like a moon on fire!
444,Spain,VdyH6,"This castle reminds me Middle Ages, it's a like old villages is sleeping."
445,Spain,e3U8O,I can imagine some ballerinas to dance on this place.
446,Spain,o4PTnPV,"Some old and abandon place, I would be curious about this history."
447,Spain,uXYqWHO,I'm such bad with art.. Maybe also this is some deeper meaning..
448,Spain,vcwrYpX,"Extremely beautiful woman, maybe some aristocratic."
449,Spain,xVVgyIg,"Nice portrait, only what I can I say. Still so bad with art."
450,Switzerland,0GqOUs6,"Little bit dark atmosphere, I wouldn't like to stay here."
451,Switzerland,4EUZ6mi,"This plate is too full, I'd like see what I eat."
452,Switzerland,9hOdzsx,"The real country side, I could visit there but not to stay."
453,Switzerland,LrEK3o8,There is a great views for train passengers.
454,Switzerland,Q89Sg,"Nice alp village, again, I could visit there but no to stay."
455,Switzerland,SlTRt,"Village as a postcard, looks very nice place."
456,Switzerland,dAKfsJx,"Very old castle, I'm sure there would be also many stories to tell."
457,Switzerland,eLHPzsR,Hard to say what this guy is thinking or what is he's mood.
458,Switzerland,eRM6hHb,"Calming picture, I can feel this fresh air."
459,Switzerland,vRLD62o,"Looks so familiar, almost like in Finland."
460,Thailand,24e466c,"A tough girl, respect."
461,Thailand,92JMtKi,Hopefully this elephant is happy as that man.
462,Thailand,EkvaUDH,"This gave me so big smile. Have been there once and I wanna go back, love this climate."
463,Thailand,Es7VHhT,"First thought.. There's so much bats shit. Nice, mysterious place."
464,Thailand,Hh37R1A,Very beautiful temple. And because I like a white color maybe also that's why.
465,Thailand,Szr9h,"Surprising, I wouldn't expect that monk has a tattoo."
466,Thailand,WG1Yg1H,Some big happening for monks. Everything seem so organizations.
467,Thailand,YvjbdNW,Great colors. I'd like swim there if those fish aren't bite.
468,Thailand,gCVE8J5,"This coconut, yes please."
469,Thailand,o0OauLV,Great place to swim and relaxing.
470,Tunisia,75rbKac,Evening and beach looks very nice. Personally I just don't like so much tourist traps.
471,Tunisia,HeTx7bI,"They might be sister and brother, look quite similar."
472,Tunisia,MTRo5,The right transportation to the desert.
473,Tunisia,PJv4BvC,"Sweet colors, but I can't figure what is it."
474,Tunisia,ahPtwMS,"Some music on the street, nice."
475,Tunisia,bvxZ8Th,"Local snack time, I guess. Not my favorite."
476,Tunisia,djCGk6D,Very decorative hands and talented painting.
477,Tunisia,esZmeew,"Historical picture. War, sad vision."
478,Tunisia,skJPplY,"The dark and the bright side of the moon. Very nice picture, like a painting."
479,Tunisia,vk6QXAM,New experiences for tourists.
